"soil_salinity","soil_pH","water_temperature","water_salinity","soil_nutrient","salt_tolerant_rice","Shrimp_stockiing_density","water_color_management","rice_color","probability_of_rice_faliure","probability_of_shrimp_faliure"
"1","1","1","2","1","1","2","1","2","1","0.346299"
"1","1","1","2","1","1","2","2","2","1","0.426157"
"1","1","1","2","1","1","2","1","3","1","0.346299"
"1","1","1","2","1","1","2","2","3","1","0.426157"
"1","1","1","2","1","1","2","1","4","1","0.346299"
"1","1","1","2","1","1","2","2","4","1","0.426157"
"1","1","1","2","1","1","3","1","1","1","0.346299"
"1","1","1","2","1","1","3","2","1","1","0.426157"
"1","1","1","2","1","1","3","1","2","1","0.346299"
"1","1","1","2","1","1","3","2","2","1","0.426157"
"1","1","1","2","1","1","3","1","3","1","0.346299"
"1","1","1","2","1","1","3","2","3","1","0.426157"
"1","1","1","2","1","1","3","1","4","1","0.346299"
"1","1","1","2","1","1","3","2","4","1","0.426157"
"1","1","1","2","1","2","1","1","1","1","0.220131"
"1","1","1","2","1","2","1","2","1","1","0.30954"
"1","1","1","2","1","2","1","1","2","1","0.220131"
"1","1","1","2","1","2","1","2","2","1","0.30954"
"1","1","1","2","1","2","1","1","3","1","0.220131"
"1","1","1","2","1","2","1","2","3","1","0.30954"
"1","1","1","2","1","2","1","1","4","1","0.220131"
"1","1","1","2","1","2","1","2","4","1","0.30954"
"1","1","1","2","1","2","2","1","1","1","0.346299"
"1","1","1","2","1","2","2","2","1","1","0.426157"
"1","1","1","2","1","2","2","1","2","1","0.346299"
"1","1","1","2","1","2","2","2","2","1","0.426157"
"1","1","1","2","1","2","2","1","3","1","0.346299"
"1","1","1","2","1","2","2","2","3","1","0.426157"
"1","1","1","2","1","2","2","1","4","1","0.346299"
"1","1","1","2","1","2","2","2","4","1","0.426157"
"1","1","1","2","1","2","3","1","1","1","0.346299"
"1","1","1","2","1","2","3","2","1","1","0.426157"
"1","1","1","2","1","2","3","1","2","1","0.346299"
"1","1","1","2","1","2","3","2","2","1","0.426157"
"1","1","1","2","1","2","3","1","3","1","0.346299"
"1","1","1","2","1","2","3","2","3","1","0.426157"
"1","1","1","2","1","2","3","1","4","1","0.346299"
"1","1","1","2","1","2","3","2","4","1","0.426157"
"1","1","1","2","2","1","1","1","1","1","0.220131"
"1","1","1","2","2","1","1","2","1","1","0.30954"
"1","1","1","2","2","1","1","1","2","1","0.220131"
"1","1","1","2","2","1","1","2","2","1","0.30954"
"1","1","1","2","2","1","1","1","3","1","0.220131"
"1","1","1","2","2","1","1","2","3","1","0.30954"
"1","1","1","2","2","1","1","1","4","1","0.220131"
"1","1","1","2","2","1","1","2","4","1","0.30954"
"1","1","1","2","2","1","2","1","1","1","0.346299"
"1","1","1","2","2","1","2","2","1","1","0.426157"
"1","1","1","2","2","1","2","1","2","1","0.346299"
"1","1","1","2","2","1","2","2","2","1","0.426157"
"1","1","1","2","2","1","2","1","3","1","0.346299"
"1","1","1","2","2","1","2","2","3","1","0.426157"
"1","1","1","2","2","1","2","1","4","1","0.346299"
"1","1","1","2","2","1","2","2","4","1","0.426157"
"1","1","1","2","2","1","3","1","1","1","0.346299"
"1","1","1","2","2","1","3","2","1","1","0.426157"
"1","1","1","2","2","1","3","1","2","1","0.346299"
"1","1","1","2","2","1","3","2","2","1","0.426157"
"1","1","1","2","2","1","3","1","3","1","0.346299"
"1","1","1","2","2","1","3","2","3","1","0.426157"
"1","1","1","2","2","1","3","1","4","1","0.346299"
"1","1","1","2","2","1","3","2","4","1","0.426157"
"1","1","1","2","2","2","1","1","1","1","0.220131"
"1","1","1","2","2","2","1","2","1","1","0.30954"
"1","1","1","2","2","2","1","1","2","1","0.220131"
"1","1","1","2","2","2","1","2","2","1","0.30954"
"1","1","1","2","2","2","1","1","3","1","0.220131"
"1","1","1","2","2","2","1","2","3","1","0.30954"
"1","1","1","2","2","2","1","1","4","1","0.220131"
"1","1","1","2","2","2","1","2","4","1","0.30954"
"1","1","1","2","2","2","2","1","1","1","0.346299"
"1","1","1","2","2","2","2","2","1","1","0.426157"
"1","1","1","2","2","2","2","1","2","1","0.346299"
"1","1","1","2","2","2","2","2","2","1","0.426157"
"1","1","1","2","2","2","2","1","3","1","0.346299"
"1","1","1","2","2","2","2","2","3","1","0.426157"
